分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,中国移动咪咕,09:00:00,中国移动,不在公司吃饭的，6：30左右陆陆续续的走，大部分在公司吃饭的人7点-8点以后走,中国移动,83.8,良好,游戏业务部门,游戏,运营,运营,南京,南京,09:00,18:30,9.5,5，周六日偶尔有工作需要处理，占用时间基本不超过1-2小时,5,11:30,18:00,否,否,每周周报（所有员工），目前1周写1-3次周报,互联网， 通信， 国企,互联网/软件,,,,,否,总表
互联网,科大讯飞,9点半,科大讯飞,8点到8点半,科大讯飞,80.1,良好,AI工程院,技术/研发,后端,后端开发,合肥,合肥,09:00,20:00,11,周六白天一般加班,5,12:00,18:00,6点下班,6点下班,是,互联网,互联网/软件,工作天数,,,,否,总表
互联网,快手,10点左右,快手,9点-10点,快手,67.5,一般,质量与研发效能,技术/研发,测开,测试,北京,北京,10:00,21:00,11,5,5,12:00,19:00,否,否,有日报,互联网,互联网/软件,,mentor人特别好，实习生可以很早走，mentor不会说什么，但是我mentor基本都在10点以后下班，从来没在我下班之前走过，正式员工可能还是有点卷,,,否,总表
互联网,腾讯,10点,腾讯,20点,腾讯,79.1,良好,AMS-PTP,AMS-PTP,后台,后端开发,深圳,深圳,10:00,20:00,10,5,5,12:00,18:00,未填写,可以早走,未填写,互联网,互联网/软件,,经常可以摸鱼,,,否,总表
互联网,字节,10:30:00,字节跳动,9-10点,字节跳动,70.2,良好,Data-数据平台,数据,产品,产品经理,北京/上海,北京,10:30,21:00,10.5,5,5,12:00,19:00,是,一般可以早走,未填写,互联网,互联网/软件,,卷得一笔，人比事多系列。感觉好些个老板能力都不行啊（此处包含产品、研发），0决策、0指导，只负责diss、PUA和汇总okr，每一天都心累无比。相比之下一线员工都还不错，能力挺强，氛围也好。喜欢向上管理和跪舔老板的可以来。,,,否,总表
互联网,字节跳动,10:00～10:30,字节跳动,10:00之后,字节跳动,70.2,良好,产研-ByteGraph,产研-ByteGraph,分布式数据库内核,分布式数据库内核,北京,北京,10:00,10:00,,5,5,12:00,19:00,否,否,日报、周报,互联网,互联网/软件,,很卷...,,,否,总表
互联网,腾讯,10:00:00,腾讯,21:00（卷起来至少22：30）,腾讯,79.1,良好,ieg光子市场,市场/品牌,市场,市场,深圳,深圳,10:00,21:00,11,5,5,12:30,18:30,健康日,18点下班如果有事就走,新人周边/项目每天日报、周报、ppt,互联网,互联网/软件,,虽然施行21点不加班制度，但是大家都偷偷加班，不打卡留记录，反而增加了很多不便，不加班制度形同虚设。。该卷还是卷,,,否,总表
互联网,美团,10.3,美团,9,美团,70.2,良好,外卖-广告,市场/品牌,前端,前端开发,北京,北京,10:18,21:00,10.7,5,5,12:00,18:00,否,否,周报,互联网,互联网/软件,,在招高p,,,否,总表
互联网,奇安信,一般为9点或9点半,奇安信,一般为6点，部门客户单位为5点可以一起下班,奇安信,81,良好,安全服务子公司,客服,驻场,驻场,二三线城市,二三线城,09:00,18:00,9,5,5,12:00,未填写,否,某些客户会同意提早下班,日报/周报,互联网,互联网/软件,,,,,否,总表
互联网,颐付网络科技,10点,颐付网络科技,18:30:00,颐付网络科技,94.6,舒适,技术部,技术/研发,后端,后端开发,上海,上海,10:00,18:30,8.5,5,5,12:00,回家吃,否,否,否,互联网， 金融,金融,,氛围好,,,否,总表
互联网,美团,10：30-11：00,美团,10:00:00,美团,70.2,良好,优选,优选,软件开发工程师,研发,北京,北京,10:30,22:00,11.5,5,5,12:00,18:00,否,是，可以早走,是,互联网,互联网/软件,,,,,否,总表
互联网,Vivo,09:00:00,Vivo,9点过后，目前是十点,Vivo,,数据不足,软件领域,软件领域,安卓开发工程师,研发,南京,南京,09:00,09:00,,5,5,未填写,18:00,可以(早走),可以,未填写,互联网,互联网/软件,,岗位很卷很卷,,,否,总表
