公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
比亚迪,比亚迪,其他,6,4,4,中山、深圳、西安、梅州,08:26,18:09,9.7,79.6,良好,5
泛微,泛微,互联网,6,1,4,北京、广州、深圳、上海,09:00,18:30,9.5,82.0,良好,5
中信证券,中信证券,金融,6,2,2,北京、深圳,08:30,19:45,11.2,59.0,一般,3
跨越速运,跨越速运,互联网,5,1,2,深圳、北京,09:00,19:12,10.2,74.0,良好,1
东软,东软,互联网,5,3,1,沈阳,08:36,18:06,9.5,85.3,舒适,1
长城汽车,长城汽车,其他,5,2,1,保定,08:02,18:16,10.2,68.3,一般,2
祖龙娱乐,祖龙娱乐,互联网,5,1,1,北京,10:00,18:36,8.6,89.9,舒适,1
上海汉得信息技术,上海汉得信息技术,互联网,5,3,4,深圳、佛山、西安、北京,08:42,19:42,11.0,63.5,一般,1
吉利,吉利,其他,5,2,1,杭州,08:27,17:33,9.1,86.7,舒适,2
和谐健康,和谐健康,金融,5,1,1,北京,07:52,17:24,9.5,77.9,良好,5
启明星辰,启明星辰,互联网,5,1,2,北京、成都,09:25,17:15,7.8,100.0,舒适,4
四维图新,四维图新,互联网,5,1,1,北京,08:24,17:24,9.0,90.8,舒适,1
天眼查,天眼查,互联网,5,1,2,北京、郑州,09:00,18:00,11.2,67.7,一般,4
神策数据,神策数据,互联网,5,1,1,北京,10:12,21:06,10.9,58.8,一般,3
便利蜂,便利蜂,互联网,5,1,1,北京,09:48,19:48,10.0,69.7,一般,4
中国建筑,中国建筑,其他,5,1,4,上海、郑州、北京、廊坊,08:18,16:42,8.4,85.9,舒适,4
阅文,阅文,互联网,5,2,2,上海、北京,09:36,19:30,9.9,76.5,良好,1
金山,金山,互联网,5,2,4,北京、珠海、武汉、南京,09:03,18:27,9.4,85.5,舒适,1
YY直播,YY直播,互联网,5,1,1,广州,09:30,19:24,9.9,79.3,良好,3
intel,intel,外企,5,1,1,上海,08:30,18:42,10.2,70.1,良好,5
数字广东,数字广东,互联网,5,1,1,广州,09:33,18:42,9.1,86.1,舒适,2
中国系统,中国系统,互联网,5,1,1,北京,09:03,19:32,10.5,71.5,良好,0
易车,易车,互联网,5,1,1,北京,09:00,14:36,9.3,90.3,舒适,1
中国建设银行,中国建设银行,金融,5,1,4,北京、郑州、深圳、广州,08:18,15:18,7.0,95.9,舒适,3
智云健康,智云健康,互联网,5,1,1,杭州,09:48,12:00,11.0,71.1,良好,3
帆软软件,帆软软件,互联网,5,1,2,南京、无锡,09:12,17:36,8.4,99.7,舒适,5
莉莉丝,莉莉丝,互联网,5,1,1,上海,10:00,19:00,9.0,89.2,舒适,4
工商银行,工商银行,金融,5,1,3,成都、广州、宁波,08:12,17:24,9.2,89.0,舒适,5
亚信,亚信,互联网,5,1,3,杭州、南京、长沙,09:00,17:54,8.9,93.0,舒适,2
叮咚买菜,叮咚买菜,互联网,5,1,1,上海,09:42,18:48,9.1,90.1,舒适,3
华泰证券,华泰证券,金融,5,1,2,南京、广州,08:54,18:48,9.9,75.6,良好,3
顺丰,顺丰,互联网,5,3,3,深圳、合肥、杭州,08:54,16:54,10.0,79.8,良好,3
Garena,Garena,互联网,5,1,1,上海,09:36,19:54,10.3,72.2,良好,2
匿名私企,匿名私企,互联网,5,4,4,苏州、广州、全国各地荒郊野外、西安,08:30,19:30,11.3,60.8,一般,1
